10_sample_serial_no,10_date,10_requisitioner,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_remarks,10_id_lab,10_remarks
154,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0981,ABC-20207,Aeschynomene,sensitiva,Aeschynomene sensitiva,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
155,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0982,ABC-20709,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,,OT-005,"33,34,35"
156,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0983,ABC-18437,Flemingia,macrophylla,Flemingia macrophylla,Fabaceae,Fabales,Shrub,,OT-005,"33,34,35"
157,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0984,ABC-25522,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,,OT-005,"33,34,35"
158,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0985,ABC-25704,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,,OT-005,"33,34,35"
159,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0986,ABC-33729,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Shrub,,OT-005,"33,34,35"
160,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0987,ABC-33827,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
161,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0988,ABC-8512,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,,OT-005,"33,34,35"
162,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0989,ABC-11833,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
163,45845,LMF-invivo,,18,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis,Poaceae,Poales,Grasses,Eliminado,OT-016,"33,34,35"
164,45845,LMF,,18,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,,OT-002,"33,34,35"
165,45845,LMF,,18,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,,OT-002,"33,34,35"
166,45845,LMF,,18,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,,OT-001,"33,34,35"
167,45854,Breding ,María José Garzón Gurial,19,F25-2077,CIAT-PM21_3535,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
168,45854,Breding ,María José Garzón Gurial,19,F25-2078,CIAT-PM21_6106,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
169,45854,Breding ,María José Garzón Gurial,19,F25-2079,CIAT-PM21_2580,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
170,45854,Breding ,María José Garzón Gurial,19,F25-2080,CIAT-CIAT_16031,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
171,45854,Breding ,María José Garzón Gurial,19,F25-2081,CIAT-CIAT_26936,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
172,45854,Breding ,María José Garzón Gurial,19,F25-2082,CIAT-PM21_0074,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
173,45854,Breding ,María José Garzón Gurial,19,F25-2083,CIAT-PM21_0072,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
174,45854,Breding ,María José Garzón Gurial,19,F25-2084,CIAT-PM21_6598,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
175,45854,Breding ,María José Garzón Gurial,19,F25-2085,CIAT-PM21_6647,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
176,45854,Breding ,María José Garzón Gurial,19,F25-2086,CIAT-PM21_0819,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
177,45854,Breding ,María José Garzón Gurial,19,F25-2087,CIAT-CIAT_16021,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
178,45854,Breding ,María José Garzón Gurial,19,F25-2088,CIAT-PM21_6640,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
179,45854,Breding ,María José Garzón Gurial,19,F25-2089,CIAT-PM21_0065,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
180,45854,Breding ,María José Garzón Gurial,19,F25-2090,CIAT-PM21_6629,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
181,45854,Breding ,María José Garzón Gurial,19,F25-2091,CIAT-PM21_6641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
182,45854,Breding ,María José Garzón Gurial,19,F25-2092,CIAT-CIAT_16025,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
183,45854,Breding ,María José Garzón Gurial,19,F25-2093,CIAT-PM21_0070,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
184,45854,Breding ,María José Garzón Gurial,19,F25-2094,CIAT-PM21_4926,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
185,45854,Breding ,María José Garzón Gurial,19,F25-2095,CIAT-PM21_3662,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
186,45854,Breding ,María José Garzón Gurial,19,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,Eliminado,OT-013,"36,37,38"
187,45854,Breding ,María José Garzón Gurial,19,F25-2097,CIAT-PM21_0079,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
188,45854,Breding ,María José Garzón Gurial,19,F25-2098,CIAT-CIAT_6986,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
189,45854,Breding ,María José Garzón Gurial,19,F25-2099,CIAT-PM21_4852,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
190,45854,Breding ,María José Garzón Gurial,19,F25-2100,CIAT-PM21_0078,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
191,45854,Breding ,María José Garzón Gurial,19,F25-2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,Eliminado,OT-013,"36,37,38"
192,45854,Breding ,María José Garzón Gurial,19,F25-2102,CIAT-PM21_0876,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
193,45854,Breding ,María José Garzón Gurial,19,F25-2103,CIAT-PM21_3641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
194,45854,Breding ,María José Garzón Gurial,19,F25-2104,CIAT-BR06_1348,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
195,45854,Breding ,María José Garzón Gurial,19,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,Eliminado,OT-013,"36,37,38"
196,45854,Breding ,María José Garzón Gurial,19,F25-2106,CIAT-BR09_4777,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"36,37,38"
197,45854,LMF,,19,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,,OT-002,"36,37,38"
198,45854,LMF,,19,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,,OT-002,"36,37,38"
199,45854,LMF,,19,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,,OT-001,"36,37,38"
200,45866,Breding ,María José Garzón Gurial,20,F25-2107,CIAT-BR12_0255,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
201,45866,Breding ,María José Garzón Gurial,20,F25-2108,CIAT-BR12_0461,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
202,45866,Breding ,María José Garzón Gurial,20,F25-2109,CIAT-BR12_1620,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
203,45866,Breding ,María José Garzón Gurial,20,F25-2110,CIAT-BR12_1889,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
204,45866,Breding ,María José Garzón Gurial,20,F25-2111,CIAT-BR12_4039,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
205,45866,Breding ,María José Garzón Gurial,20,F25-2112,CIAT-BR12_4856,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
206,45866,Breding ,María José Garzón Gurial,20,F25-2113,CIAT-BR12_5049,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
207,45866,Breding ,María José Garzón Gurial,20,F25-2114,CIAT-BR15_1851,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
208,45866,Breding ,María José Garzón Gurial,20,F25-2115,CIAT-BR15_3025,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
209,45866,Breding ,María José Garzón Gurial,20,F25-2116,CIAT-BR15_3248,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
210,45866,Breding ,María José Garzón Gurial,20,F25-2117,CIAT-BR15_7659,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
211,45866,Breding ,María José Garzón Gurial,20,F25-2118,CIAT-BR15_8919,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
212,45866,Breding ,María José Garzón Gurial,20,F25-2119,CIAT-BR19_5515,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
213,45866,Breding ,María José Garzón Gurial,20,F25-2120,CIAT-BR19_5877,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
214,45866,Breding ,María José Garzón Gurial,20,F25-2121,CIAT-BR19_6136,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-013,"39,40,41"
215,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,,OT-008,"39,40,41"
216,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,,OT-008,"39,40,41"
217,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,,OT-008,"39,40,41"
218,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,,OT-008,"39,40,41"
219,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,,OT-008,"39,40,41"
220,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,,OT-008,"39,40,41"
221,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,Eliminado,OT-008,"39,40,41"
222,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,,OT-008,"39,40,41"
223,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,Eliminado,OT-008,"39,40,41"
224,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,Eliminado,OT-008,"39,40,41"
225,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,Eliminado,OT-008,"39,40,41"
226,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,Eliminado,OT-008,"39,40,41"
227,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1663,CIAT-8434,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,Eliminado,OT-008,"39,40,41"
228,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1664,CIAT-8702,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,,OT-008,"39,40,41"
229,45866,Genetic bank,Jorge E.  Peñafiel,20,F25-1665,CIAT-8816,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,,OT-008,"39,40,41"
230,45866,LMF,,20,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,,OT-002,"36,37,38"
231,45866,LMF,,20,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,,OT-002,"36,37,38"
232,45866,LMF,,20,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,,OT-001,"36,37,38"
233,45880,Breding ,María José Garzón Gurial,21,F25-2144,CIAT-BH16_1763,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
234,45880,Breding ,María José Garzón Gurial,21,F25-2145,CIAT-BH16B_2165,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
235,45880,Breding ,María José Garzón Gurial,21,F25-2146,CIAT-BH16B_2167,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
236,45880,Breding ,María José Garzón Gurial,21,F25-2147,CIAT-CIAT_16886,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
237,45880,Breding ,María José Garzón Gurial,21,F25-2148,CIAT-CIAT_16891,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
238,45880,Breding ,María José Garzón Gurial,21,F25-2149,CIAT-CIAT_26146,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
239,45880,Breding ,María José Garzón Gurial,21,F25-2150,CIAT-CIAT_26149,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
240,45880,Breding ,María José Garzón Gurial,21,F25-2151,CIAT-CIAT_26160,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
241,45880,Breding ,María José Garzón Gurial,21,F25-2152,CIAT-CIAT_26415,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
242,45880,Breding ,María José Garzón Gurial,21,F25-2153,CIAT-BH22_4092,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
243,45880,Breding ,María José Garzón Gurial,21,F25-2154,CIAT-CIAT_26438,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
244,45880,Breding ,María José Garzón Gurial,21,F25-2155,CIAT-CIAT_26570,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
245,45880,Breding ,María José Garzón Gurial,21,F25-2156,CIAT-BH22_3115,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
246,45880,Breding ,María José Garzón Gurial,21,F25-2157,CIAT-BH22_1375,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
247,45880,Breding ,María José Garzón Gurial,21,F25-2158,CIAT-CIAT_6133,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
248,45880,Breding ,María José Garzón Gurial,21,F25-2159,CIAT-CIAT_679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
249,45880,Breding ,María José Garzón Gurial,21,F25-2160,CIAT-BH22_4865,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
250,45880,Breding ,María José Garzón Gurial,21,F25-2161,CIAT-BH22_1706,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
251,45880,Breding ,María José Garzón Gurial,21,F25-2162,CIAT-BH22_4169,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
252,45880,Breding ,María José Garzón Gurial,21,F25-2163,CIAT-BH22_1258,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
253,45880,Breding ,María José Garzón Gurial,21,F25-2164,CIAT-BH22_1370,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
254,45880,Breding ,María José Garzón Gurial,21,F25-2165,CIAT-BH22_2225,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
255,45880,Breding ,María José Garzón Gurial,21,F25-2166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,Eliminado,OT-020,"42,43,44"
256,45880,Breding ,María José Garzón Gurial,21,F25-2167,CIAT-BH22_3507,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
257,45880,Breding ,María José Garzón Gurial,21,F25-2168,CIAT-BH22_4253,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
258,45880,Breding ,María José Garzón Gurial,21,F25-2169,CIAT-BH22_2189,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
259,45880,Breding ,María José Garzón Gurial,21,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,Eliminado,OT-020,"42,43,44"
260,45880,Breding ,María José Garzón Gurial,21,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,Eliminado,OT-020,"42,43,44"
261,45880,Breding ,María José Garzón Gurial,21,F25-2172,CIAT-BH22_0132,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
262,45880,Breding ,María José Garzón Gurial,21,F25-2173,CIAT-BH22_3521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"42,43,44"
263,45880,LMF,,21,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,,OT-002,"42,43,45"
264,45880,LMF,,21,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,,OT-002,"42,43,46"
265,45880,LMF,,21,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,,OT-001,"42,43,47"
266,45894,Breding ,,22,F25-2174,CIAT-BH22_2074,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"45,46,47"
267,45894,Breding ,,22,F25-2175,CIAT-BH22_0456,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"45,46,47"
268,45894,Breding ,,22,F25-2176,CIAT-BH22_1832,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"45,46,47"
269,45894,Breding ,,22,F25-2177,CIAT-BH22_1872,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"45,46,47"
270,45894,Breding ,,22,F25-2178,CIAT-BH22_0071,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"45,46,47"
271,45894,Breding ,,22,F25-2179,CIAT-BH22_4454,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"45,46,47"
272,45894,Breding ,,22,F25-2180,CIAT-BH22_1267,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"45,46,47"
273,45894,Breding ,,22,F25-2181,CIAT-BH22_1303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"45,46,47"
274,45894,Breding ,,22,F25-2182,CIAT-BH22_2508,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"45,46,47"
275,45894,Breding ,,22,F25-2183,CIAT-BH22_2046,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,OT-020,"45,46,47"
276,45894,LMF,,22,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,,OT-002,"45,46,47"
277,45894,LMF,,22,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,,OT-001,"45,46,47"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Set 2,Breding ,107,,,,,,,,,,,
,,,Genetic bank,123,,,,,,,,,,,
,,,LMF-invivo,1,,,,,,,,,,,
